Locale,Category,Tool,Total Keys,Pending,Translated,Percentage
ru,development,base64-encoder-decoder,24,0,24,100%
ru,development,code-formatter,20,0,20,100%
ru,development,cron-job-generator,38,0,38,100%
ru,development,css-minifier,22,0,22,100%
ru,development,curl-command-builder,15,0,15,100%
ru,development,html-encoder-decoder,42,0,42,100%
ru,development,html-minifier,16,0,16,100%
ru,development,html-to-markdown-converter,25,0,25,100%
ru,development,html-viewer,12,0,12,100%
ru,development,js-minifier,39,1,38,97.44%
ru,development,json-formatter,53,0,53,100%
ru,development,json-parser,18,0,18,100%
ru,development,json-to-csv-converter,49,0,49,100%
ru,development,json-to-sql-converter,72,0,72,100%
ru,development,json-to-xml-converter,74,0,74,100%
ru,development,json-to-yaml-converter,20,0,20,100%
ru,development,jwt-decoder,24,0,24,100%
ru,development,markdown-to-html-converter,18,0,18,100%
ru,development,md5-generator,19,0,19,100%
ru,development,sql-to-json,15,0,15,100%
ru,development,sql-to-json-converter,84,0,84,100%
ru,development,unicode-encoder-decoder,17,0,17,100%
ru,development,url-encoder-decoder,18,0,18,100%
ru,development,uuid-generator,14,0,14,100%
ru,development,xml-formatter,12,0,12,100%
ru,development,xml-to-csv,13,0,13,100%
ru,development,xml-to-json,14,0,14,100%
ru,development,yaml-to-json,15,0,15,100%
ru,converters,angle-converter,36,0,36,100%
ru,converters,area-converter,40,0,40,100%
ru,converters,ascii-converter,55,0,55,100%
ru,converters,binary-hex-converter,44,0,44,100%
ru,converters,binary-to-text,45,0,45,100%
ru,converters,camel-case-converter,33,4,29,87.88%
ru,converters,case-converter,30,3,27,90%
ru,converters,cooking-unit-converter,39,0,39,100%
ru,converters,data-transfer-rate-converter,28,0,28,100%
ru,converters,decimal-binary-converter,84,0,84,100%
ru,converters,decimal-hex-converter,84,0,84,100%
ru,converters,decimal-octal-converter,84,0,84,100%
ru,converters,density-converter,35,0,35,100%
ru,converters,digital-storage-converter,38,0,38,100%
ru,converters,energy-converter,38,0,38,100%
ru,converters,force-converter,32,0,32,100%
ru,converters,frequency-converter,30,0,30,100%
ru,converters,fuel-consumption-converter,30,0,30,100%
ru,converters,kebab-case-converter,28,4,24,85.71%
ru,converters,length-converter,37,0,37,100%
ru,converters,molar-mass-converter,16,0,16,100%
ru,converters,number-base-converter,78,78,0,0%
ru,converters,pascal-case-converter,24,4,20,83.33%
ru,converters,power-converter,31,0,31,100%
ru,converters,pressure-converter,30,0,30,100%
